"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
1,"U.S. PRESIDENT (Vote For 1)","DONALD J. TRUMP","REP",533556,69.98,0,770587,55,55,"0","0"
2,"U.S. PRESIDENT (Vote For 1)","KAMALA D. HARRIS","DEM",214309,28.11,0,770587,55,55,"0","0"
3,"U.S. PRESIDENT (Vote For 1)","ROBERT F. KENNEDY JR.","IND",8947,1.17,0,770587,55,55,"0","0"
4,"U.S. PRESIDENT (Vote For 1)","CHASE OLIVER","LBN",3047,0.40,0,770587,55,55,"0","0"
5,"U.S. PRESIDENT (Vote For 1)","JILL STEIN","MTN",2531,0.33,0,770587,55,55,"0","0"
6,"U.S. SENATOR (Vote For 1)","JIM JUSTICE","REP",514079,68.75,0,770587,55,55,"0","0"
7,"U.S. SENATOR (Vote For 1)","GLENN ELLIOTT","DEM",207548,27.76,0,770587,55,55,"0","0"
8,"U.S. SENATOR (Vote For 1)","DAVID MORAN","LBN",26075,3.49,0,770587,55,55,"0","0"
9,"U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District (Vote For 1)","CAROL MILLER","REP",228491,66.39,0,368718,28,28,"0","0"
10,"U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District (Vote For 1)","CHRIS BOB REED","DEM",90038,26.16,0,368718,28,28,"0","0"
11,"U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District (Vote For 1)","WES HOLDEN","IND",25616,7.44,0,368718,28,28,"0","0"
12,"U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District (Vote For 1)","RILEY MOORE","REP",268190,70.77,0,401869,27,27,"0","0"
13,"U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District (Vote For 1)","STEVEN WENDELIN","DEM",110775,29.23,0,401869,27,27,"0","0"
14,"GOVERNOR (Vote For 1)","PATRICK MORRISEY","REP",459300,61.99,0,770587,55,55,"0","0"
15,"GOVERNOR (Vote For 1)","STEVE WILLIAMS","DEM",233976,31.58,0,770587,55,55,"0","0"
16,"GOVERNOR (Vote For 1)","ERIKA KLIE KOLENICH","LBN",21228,2.87,0,770587,55,55,"0","0"
17,"GOVERNOR (Vote For 1)","S. MARSHALL WILSON","CST",16828,2.27,0,770587,55,55,"0","0"
18,"GOVERNOR (Vote For 1)","CHASE LINKO-LOOPER","MTN",9596,1.30,0,770587,55,55,"0","0"
19,"SECRETARY OF STATE (Vote For 1)","KRIS WARNER","REP",510992,71.15,0,770587,55,55,"0","0"
20,"SECRETARY OF STATE (Vote For 1)","THORNTON COOPER","DEM",207238,28.85,0,770587,55,55,"0","0"
21,"AUDITOR (Vote For 1)","MARK HUNT","REP",488737,68.72,0,770587,55,55,"0","0"
22,"AUDITOR (Vote For 1)","MARY ANN ROEBUCK CLAYTOR","DEM",222491,31.28,0,770587,55,55,"0","0"
23,"TREASURER (Vote For 1)","LARRY PACK","REP",602718,100.00,0,770587,55,55,"0","0"
24,"COMMISSIONER OF AGRICULTURE (Vote For 1)","KENT LEONHARDT","REP",490964,69.14,0,770587,55,55,"0","0"
25,"COMMISSIONER OF AGRICULTURE (Vote For 1)","DEBORAH STILES","DEM",219131,30.86,0,770587,55,55,"0","0"
26,"ATTORNEY GENERAL (Vote For 1)","JOHN “JB” McCUSKEY","REP",501452,70.02,0,770587,55,55,"0","0"
27,"ATTORNEY GENERAL (Vote For 1)","TERESA TORISEVA","DEM",214654,29.98,0,770587,55,55,"0","0"
28,"STATE SENATOR, 1st Senatorial District (Vote For 1)","RYAN W. WELD","REP",37739,100.00,0,46072,4,4,"0","0"
29,"STATE SENATOR, 2nd Senatorial District (Vote For 1)","CHRIS ROSE","REP",37022,100.00,0,46996,6,6,"0","0"
30,"STATE SENATOR, 3rd Senatorial District (Vote For 1)","DONNA J. BOLEY","REP",37987,100.00,0,47725,4,4,"0","0"
31,"STATE SENATOR, 4th Senatorial District (Vote For 1)","AMY NICHOLE GRADY","REP",33655,74.79,0,48207,4,4,"0","0"
32,"STATE SENATOR, 4th Senatorial District (Vote For 1)","DWAYNE RUSSELL","DEM",11343,25.21,0,48207,4,4,"0","0"
33,"STATE SENATOR, 5th Senatorial District (Vote For 1)","SCOTT FULLER","REP",19951,51.09,0,41053,2,2,"0","0"
34,"STATE SENATOR, 5th Senatorial District (Vote For 1)","RIC GRIFFITH","DEM",19098,48.91,0,41053,2,2,"0","0"
35,"STATE SENATOR, 6th Senatorial District (Vote For 1)","CRAIG A. HART","REP",23014,61.04,0,40740,4,4,"0","0"
36,"STATE SENATOR, 6th Senatorial District (Vote For 1)","JEFF DISIBBIO","DEM",12924,34.28,0,40740,4,4,"0","0"
37,"STATE SENATOR, 6th Senatorial District (Vote For 1)","DAVE SARTIN","IND",1765,4.68,0,40740,4,4,"0","0"
38,"STATE SENATOR, 7th Senatorial District (Vote For 1)","RUPIE PHILLIPS","REP",28849,100.00,0,37181,4,4,"0","0"
39,"STATE SENATOR, 8th Senatorial District (Vote For 1)","GLENN D. JEFFRIES","REP",30980,100.00,0,41404,5,5,"0","0"
40,"STATE SENATOR, 9th Senatorial District (Vote For 1)","BRIAN HELTON","REP",30734,75.01,0,44169,3,3,"0","0"
41,"STATE SENATOR, 9th Senatorial District (Vote For 1)","CHRISTY CARDWELL","DEM",10240,24.99,0,44169,3,3,"0","0"
42,"STATE SENATOR, 10th Senatorial District (Vote For 1)","JACK DAVID WOODRUM","REP",37651,100.00,0,47490,5,5,"0","0"
43,"STATE SENATOR, 11th Senatorial District (Vote For 1)","ROBBIE MORRIS","REP",31279,75.93,0,43951,7,7,"0","0"
44,"STATE SENATOR, 11th Senatorial District (Vote For 1)","MANDY SMITH WEIRICH","DEM",9913,24.07,0,43951,7,7,"0","0"
45,"STATE SENATOR, 12th Senatorial District (Vote For 1)","PATRICK S MARTIN","REP",37167,100.00,0,46195,5,5,"0","0"
46,"STATE SENATOR, 13th Senatorial District (Vote For 1)","JOEY GARCIA","DEM",21890,54.44,0,42137,2,2,"0","0"
47,"STATE SENATOR, 13th Senatorial District (Vote For 1)","REBECCA POLIS","REP",18321,45.56,0,42137,2,2,"0","0"
48,"STATE SENATOR, 14th Senatorial District (Vote For 1)","RANDY E. SMITH","REP",36296,86.65,0,46847,6,6,"0","0"
49,"STATE SENATOR, 14th Senatorial District (Vote For 1)","BETSY ORNDOFF-SAYERS","MTN",5594,13.35,0,46847,6,6,"0","0"
50,"STATE SENATOR, 15th Senatorial District (Vote For 1)","THOMAS (TOM) WILLIS","REP",35979,72.98,0,51989,3,3,"0","0"
51,"STATE SENATOR, 15th Senatorial District (Vote For 1)","ANTHONY MURRAY","DEM",13318,27.02,0,51989,3,3,"0","0"
52,"STATE SENATOR, 16th Senatorial District (Vote For 1)","PATRICIA RUCKER","REP",31003,60.03,0,53730,2,2,"0","0"
53,"STATE SENATOR, 16th Senatorial District (Vote For 1)","JOHN DOYLE","DEM",20645,39.97,0,53730,2,2,"0","0"
54,"STATE SENATOR, 17th Senatorial District (Vote For 1)","ERIC NELSON","REP",26931,64.27,0,44701,1,1,"0","0"
55,"STATE SENATOR, 17th Senatorial District (Vote For 1)","BIL LEPP","DEM",14972,35.73,0,44701,1,1,"0","0"
56,"HOUSE OF DELEGATES, 1st District (Vote For 1)","PAT McGEEHAN","REP",7689,100.00,0,9057,2,2,"0","0"
57,"HOUSE OF DELEGATES, 2nd District (Vote For 1)","MARK ZATEZALO","REP",5206,68.25,0,8025,2,2,"0","0"
58,"HOUSE OF DELEGATES, 2nd District (Vote For 1)","OLIVIA  DOWLER","DEM",2422,31.75,0,8025,2,2,"0","0"
59,"HOUSE OF DELEGATES, 3rd District (Vote For 1)","JIMMY WILLIS","REP",5128,68.83,0,8582,2,2,"0","0"
60,"HOUSE OF DELEGATES, 3rd District (Vote For 1)","DAVID CANTRELL","DEM",2322,31.17,0,8582,2,2,"0","0"
61,"HOUSE OF DELEGATES, 4th District (Vote For 1)","BILL FLANIGAN","REP",5991,65.95,0,10471,1,1,"0","0"
62,"HOUSE OF DELEGATES, 4th District (Vote For 1)","JONATHAN “JOHNNY” HAUGHT","DEM",3093,34.05,0,10471,1,1,"0","0"
63,"HOUSE OF DELEGATES, 5th District (Vote For 1)","SHAWN FLUHARTY","DEM",4135,57.28,0,8440,1,1,"0","0"
64,"HOUSE OF DELEGATES, 5th District (Vote For 1)","THOMAS M. SALKOVICK","REP",3084,42.72,0,8440,1,1,"0","0"
65,"HOUSE OF DELEGATES, 6th District (Vote For 1)","JEFF STEPHENS","REP",4560,56.12,0,8547,1,1,"0","0"
