"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
119,"HOUSE OF DELEGATES, 40th District (Vote For 1)","BECKY CRABTREE","DEM",1731,28.65,0,6261,2,2,"0","0"
120,"HOUSE OF DELEGATES, 40th District (Vote For 1)","JONATHON FAIN","LBN",253,4.19,0,6261,2,2,"0","0"
121,"HOUSE OF DELEGATES, 41st District (Vote For 1)","JORDAN MAYNOR","REP",4908,100.00,0,6046,3,3,"0","0"
122,"HOUSE OF DELEGATES, 42nd District (Vote For 1)","BRANDON STEELE","REP",3956,100.00,0,4888,1,1,"0","0"
123,"HOUSE OF DELEGATES, 43rd District (Vote For 1)","CHRISTOPHER W. TONEY","REP",3548,81.88,0,4503,2,2,"0","0"
124,"HOUSE OF DELEGATES, 43rd District (Vote For 1)","JOANNA VANCE","DEM",785,18.12,0,4503,2,2,"0","0"
125,"HOUSE OF DELEGATES, 44th District (Vote For 1)","TODD A. KIRBY","REP",2452,55.10,0,4592,1,1,"0","0"
126,"HOUSE OF DELEGATES, 44th District (Vote For 1)","TONY O. MARTIN","DEM",1998,44.90,0,4592,1,1,"0","0"
127,"HOUSE OF DELEGATES, 45th District (Vote For 1)","ERIC BROOKS","REP",2516,65.10,0,3992,2,2,"0","0"
128,"HOUSE OF DELEGATES, 45th District (Vote For 1)","CHRISTIAN MARTINE","DEM",1349,34.90,0,3992,2,2,"0","0"
129,"HOUSE OF DELEGATES, 46th District (Vote For 1)","MIKE HONAKER","REP",4106,66.34,0,6376,2,2,"0","0"
130,"HOUSE OF DELEGATES, 46th District (Vote For 1)","PAUL S. DETCH","DEM",2083,33.66,0,6376,2,2,"0","0"
131,"HOUSE OF DELEGATES, 47th District (Vote For 1)","TODD LONGANACRE","REP",3704,63.82,0,6012,2,2,"0","0"
132,"HOUSE OF DELEGATES, 47th District (Vote For 1)","HEATHER HILL","DEM",2100,36.18,0,6012,2,2,"0","0"
133,"HOUSE OF DELEGATES, 48th District (Vote For 1)","CALEB L.  HANNA","REP",2886,70.75,0,4260,3,3,"0","0"
134,"HOUSE OF DELEGATES, 48th District (Vote For 1)","ERIC HENSON SEBERT","DEM",1193,29.25,0,4260,3,3,"0","0"
135,"HOUSE OF DELEGATES, 49th District (Vote For 1)","HEATHER TULLY","REP",3814,100.00,0,4759,1,1,"0","0"
136,"HOUSE OF DELEGATES, 50th District (Vote For 1)","DAVID ""ELLIOTT"" PRITT","DEM",1892,51.82,0,3889,1,1,"0","0"
137,"HOUSE OF DELEGATES, 50th District (Vote For 1)","AUSTIN HAYNES","REP",1759,48.18,0,3889,1,1,"0","0"
138,"HOUSE OF DELEGATES, 51st District (Vote For 1)","TOM FAST","REP",2900,58.65,0,5108,1,1,"0","0"
