TOTAL VOTER TURNOUT: 97,057,730
ElectionDate	OfficeCode(text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nomindated(N)/Elected(E)
2024-11-05	12	0	0	59	MONTCALM	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466894	MEYERS	CARL			22056			
2024-11-05	12	0	0	59	MONTCALM	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466895	ILITCH	DENISE			8962			
2024-11-05	12	0	0	59	MONTCALM	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466904	VARTANIAN	SEVAG			19437			
2024-11-05	12	0	0	59	MONTCALM	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466905	RYDER DIGGS	SHAUNA			8531			
2024-11-05	12	0	0	59	MONTCALM	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	999	WRITE-IN	481372	ARRAF	HUWAIDA			3	Y		
2024-11-05	12	0	0	60	MONTMORENCY	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	3	LIBERTARIAN	376156	CHADDERDON	ANDREW			171			
2024-11-05	12	0	0	60	MONTMORENCY	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	4	U.S. TAXPAYERS	466408	OETMAN	DONNA	M.		198			
2024-11-05	12	0	0	60	MONTMORENCY	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466894	MEYERS	CARL			4168			
2024-11-05	12	0	0	60	MONTMORENCY	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466895	ILITCH	DENISE			1519			
2024-11-05	12	0	0	60	MONTMORENCY	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466904	VARTANIAN	SEVAG			3637			
2024-11-05	12	0	0	60	MONTMORENCY	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466905	RYDER DIGGS	SHAUNA			1376			
