elec_date,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
8/27/2024,"FEDERAL, STATE AND COUNTY",12008,"FOR STATE SENATOR DISTRICT 3",REP,42,42,1,"BLAKE COWBOY STEPHENS",REP,73,289,3223,3585,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12008,"FOR STATE SENATOR DISTRICT 3",REP,42,42,2,"JULIE McINTOSH",REP,117,560,4874,5551,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12014,"FOR STATE SENATOR DISTRICT 15",REP,35,35,1,"LISA STANDRIDGE",REP,209,211,2087,2507,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12014,"FOR STATE SENATOR DISTRICT 15",REP,35,35,2,"ROBERT C. KEYES",REP,215,206,2030,2451,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12023,"FOR STATE SENATOR DISTRICT 33",REP,31,31,1,"CHRISTI GILLESPIE",REP,121,36,2464,2621,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12023,"FOR STATE SENATOR DISTRICT 33",REP,31,31,2,"SHELLEY GWARTNEY",REP,88,29,1988,2105,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12030,"FOR STATE SENATOR DISTRICT 47",REP,28,28,1,"KELLY E. HINES",REP,382,90,2864,3336,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12030,"FOR STATE SENATOR DISTRICT 47",REP,28,28,2,"JENNY SCHMITT",REP,236,37,1922,2195,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12052,"FOR STATE REPRESENTATIVE DISTRICT 20",REP,20,20,1,"MIKE WHALEY",REP,90,65,1513,1668,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12052,"FOR STATE REPRESENTATIVE DISTRICT 20",REP,20,20,2,"JONATHAN WILK",REP,76,72,1525,1673,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12064,"FOR STATE REPRESENTATIVE DISTRICT 32",REP,21,21,1,"JIM SHAW",REP,57,492,2742,3291,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12064,"FOR STATE REPRESENTATIVE DISTRICT 32",REP,21,21,2,"KEVIN WALLACE",REP,71,342,2352,2765,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12082,"FOR STATE REPRESENTATIVE DISTRICT 50",REP,30,30,1,"STACY JO ADAMS",REP,56,212,2019,2287,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12082,"FOR STATE REPRESENTATIVE DISTRICT 50",REP,30,30,2,"ANDREW ALDRIDGE",REP,44,160,1215,1419,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12085,"FOR STATE REPRESENTATIVE DISTRICT 53",REP,11,11,1,"JASON BLAIR",REP,87,80,889,1056,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12085,"FOR STATE REPRESENTATIVE DISTRICT 53",REP,11,11,2,"NICK POKORNY",REP,49,77,510,636,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12092,"FOR STATE REPRESENTATIVE DISTRICT 60",REP,17,17,1,"MIKE KELLEY",REP,89,86,1283,1458,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12092,"FOR STATE REPRESENTATIVE DISTRICT 60",REP,17,17,2,"RON LYNCH",REP,50,35,708,793,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12130,"FOR STATE REPRESENTATIVE DISTRICT 98",REP,12,12,1,"DEAN DAVIS",REP,34,91,1101,1226,,
8/27/2024,"FEDERAL, STATE AND COUNTY",12130,"FOR STATE REPRESENTATIVE DISTRICT 98",REP,12,12,2,"GABE WOOLLEY",REP,50,83,1121,1254,,
8/27/2024,"BLAINE COUNTY",12139,"FOR COUNTY CLERK",REP,9,9,1,"HEATHER SAWYER-SPANGLER",REP,19,47,410,476,BLAINE
8/27/2024,"BLAINE COUNTY",12139,"FOR COUNTY CLERK",REP,9,9,2,"D. JENNIFER HAIGLER",REP,16,33,285,334,BLAINE
8/27/2024,"NOBLE COUNTY",12185,"FOR COUNTY CLERK",REP,11,11,1,"SANDRA RICHARDSON",REP,27,127,347,501,NOBLE
8/27/2024,"NOBLE COUNTY",12185,"FOR COUNTY CLERK",REP,11,11,2,"CONNIE SMITH",REP,12,158,386,556,NOBLE
8/27/2024,"BEAVER COUNTY",12214,"FOR COUNTY SHERIFF",REP,7,7,1,"SCOTT MITCHELL",REP,17,98,557,672,BEAVER
8/27/2024,"BEAVER COUNTY",12214,"FOR COUNTY SHERIFF",REP,7,7,2,"SHAWN CAMPBELL",REP,8,33,314,355,BEAVER
8/27/2024,"COMANCHE COUNTY",12226,"FOR COUNTY SHERIFF",REP,40,40,1,"MICHAEL MERRITT",REP,152,263,3180,3595,COMANCHE
8/27/2024,"COMANCHE COUNTY",12226,"FOR COUNTY SHERIFF",REP,40,40,2,"ANDY MOON",REP,130,273,2564,2967,COMANCHE
8/27/2024,"KINGFISHER COUNTY",12247,"FOR COUNTY SHERIFF",REP,12,12,1,"JONATHAN RIEDLINGER",REP,18,185,927,1130,KINGFISHER
8/27/2024,"KINGFISHER COUNTY",12247,"FOR COUNTY SHERIFF",REP,12,12,2,"AARON PITTS",REP,19,98,1040,1157,KINGFISHER
8/27/2024,"LINCOLN COUNTY",12251,"FOR COUNTY SHERIFF",REP,19,19,1,"KEVIN WAYNE GARRETT",REP,58,337,2431,2826,LINCOLN
8/27/2024,"LINCOLN COUNTY",12251,"FOR COUNTY SHERIFF",REP,19,19,2,"AARON BENNETT",REP,46,469,2233,2748,LINCOLN
8/27/2024,"MCCURTAIN COUNTY",12255,"FOR COUNTY SHERIFF",REP,30,30,1,"BRUCE W. SHIREY",REP,19,169,1310,1498,MCCURTAIN
8/27/2024,"MCCURTAIN COUNTY",12255,"FOR COUNTY SHERIFF",REP,30,30,2,"JASON RICKETTS",REP,3,44,320,367,MCCURTAIN
8/27/2024,"PAWNEE COUNTY",12269,"FOR COUNTY SHERIFF",REP,10,10,1,"DARRIN VARNELL",REP,23,27,829,879,PAWNEE
8/27/2024,"PAWNEE COUNTY",12269,"FOR COUNTY SHERIFF",REP,10,10,2,"SHAWN PRICE",REP,16,142,760,918,PAWNEE
8/27/2024,"WAGONER COUNTY",12283,"FOR COUNTY SHERIFF",REP,29,29,1,"CHRIS ELLIOTT",REP,75,408,3844,4327,WAGONER
8/27/2024,"WAGONER COUNTY",12283,"FOR COUNTY SHERIFF",REP,29,29,2,"TYLER COOPER",REP,113,443,3736,4292,WAGONER
8/27/2024,"MAYES COUNTY",12334,"FOR COUNTY COURT CLERK",REP,25,25,1,"SARAH WALLACE",REP,37,196,1819,2052,MAYES
8/27/2024,"MAYES COUNTY",12334,"FOR COUNTY COURT CLERK",REP,25,25,2,"MEREDITH FRAILEY",REP,27,48,840,915,MAYES
8/27/2024,"CANADIAN COUNTY",12371,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",REP,19,19,1,"LACEY DAWSON",REP,75,92,1251,1418,CANADIAN
8/27/2024,"CANADIAN COUNTY",12371,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",REP,19,19,2,"JOSH DAVIS",REP,95,43,686,824,CANADIAN
8/27/2024,"CARTER COUNTY",12372,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",REP,10,10,1,"OWEN LONGEST",REP,13,24,443,480,CARTER
8/27/2024,"CARTER COUNTY",12372,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",REP,10,10,2,"KALUB MILLER",REP,7,39,385,431,CARTER
8/27/2024,"GRADY COUNTY",12388,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",REP,12,12,1,"RUTH BINGHAM",REP,20,41,554,615,GRADY
8/27/2024,"GRADY COUNTY",12388,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",REP,12,12,2,"KIRK L. PAINTER",REP,13,39,448,500,GRADY
8/27/2024,"LEFLORE COUNTY",12402,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",REP,12,12,1,"JOSH BLAYLOCK",REP,13,59,473,545,LEFLORE
8/27/2024,"LEFLORE COUNTY",12402,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",REP,12,12,2,"JESSE INGLE",REP,6,59,381,446,LEFLORE
8/27/2024,"LOGAN COUNTY",12404,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",REP,11,11,1,"CHARLIE MEADOWS",REP,33,70,809,912,LOGAN
8/27/2024,"LOGAN COUNTY",12404,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",REP,11,11,2,"FLOYD COFFMAN",REP,31,106,963,1100,LOGAN
