Table 1
State of New Hampshire - 2024  General Election,,,,,,,,,,,,,,
State Representative - HILLSBOROUGH County,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,,,,,
District No 17 (2),"Linda DiSilvestro, d",RECOUNT,"David J. Preece, d",RECOUNT,"Ben Prescott, r",RECOUNT,Undervotes,RECOUNT,Overvotes,RECOUNT,Write-Ins,RECOUNT,,
Manchester Ward 2,2733,2736,2368,2368,2330,2332,3050,3090,2,2,15,16,,
District No. 18 (2),"Jessica Grill, d",RECOUNT,"Julie Smith, d",RECOUNT,"Juliet Belle DiPietro, r",RECOUNT,"Steven Kesselring, r",RECOUNT,Undervotes,RECOUNT,Overvotes,RECOUNT,Write-Ins,RECOUNT
Manchester Ward 12,2295,2296,2041,2041,1934,1934,2048,2050,898,888,0,4,2,3
District No. 19 (2),"Suzanne L. Chretien, d","Samuel Petali, d","Matt Drew, r",,,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 10,1986,1590,2134,,,,,,2827,0,23,,,
District No. 20 (2),"Alissandra Murray, d","Joshua Query, d","Pierre Dupont, r","Jose R. Marte, r",,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 9,1905,1680,1889,1639,,,,,1263,0,9,,,
District No. 21 (2),"Christine Seibert, d","Matthew B. Wilhelm, d","Andrew Fromuth, r",,,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 1,3113,2648,2439,,,,,,3167,0,10,,,
District No. 22 (2),"Patricia Cornell, d","Nicole Leapley, d","Karl Beisel, r","Bill Gabler, r",,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 11,1720,1614,1401,1550,,,,,1060,0,2,,,
District No. 23 (2),"MaryNgwanda Georges, d","Jean Jeudy, d","Tim Peters, r",,,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 3,1763,1699,1385,,,,,,2029,2,2,,,
District No. 24 (2),"Donald J. Bouchard, d",RECOUNT,"Chris Herbert, d",RECOUNT,"Dennis M. Demars, r",RECOUNT,Undervotes,RECOUNT,Overvotes,RECOUNT,Write-Ins,RECOUNT,,
Manchester Ward 4,1662,1665,1763,1767,1621,1632,2313,2299,4,0,14,15,,
District No. 25 (2),"Hyacinth J. Landry, d","Kathy Staub, d","Kathleen Paquette, r",,,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 5,1143,1252,1333,,,,,,1926,1,4,,,
District No. 26 (2),"Patrick N. Long, d","Michael Reuschel, d","Brian D. Cole, r",,,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 7,1843,1492,1882,,,,,,2537,0,6,,,
District No. 27 (1),"Susan Kane, d","Mary Murphy, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,
Deering,378,708,,,,,,,75,0,0,,,
Francestown,534,628,,,,,,,44,0,0,,,
Totals,912,1336,,,,,,,119,0,0,,,
District No. 28 (2),"Luke Drake Jr., d","David Erikson, d","Travis Corcoran, r","Keith Erf, r",,,,,Undervotes,Overvotes,Write-Ins,,,
Weare,1804,1961,3004,3255,,,,,1458,0,1,,,
District No. 29 (4),"Jim Craig, d","Judy Johnson, d","Judi L. Lanza, d","Melanie Renfrew-Hebert, d",,,,,Undervotes,Overvotes,Write-Ins,,,
Goffstown,4484,4323,4385,4170,,,,,5844,4,8,,,
,"Joe Alexander, r","Henry R. Giasson III, r","Sherri Reinfurt, r","Sheila Seidel, r",,,,,,,,,,
Goffstown,5027,4566,4652,4876,,,,,,,,,,
District No. 30 (3),"William Bryk, d","Marjorie Porter, d","Michael H. Schamel, d","Riche Colcombe, r","Jim Creighton, r","Jim Fedolfi, r",,,Undervotes,Overvotes,Write-Ins,,,
Antrim,650,739,653,828,888,734,,,582,,1,,,
Bennington,325,348,335,442,451,374,,,421,3,1,,,
Hillsborough,1145,1420,1221,1816,1756,1693,,,1319,0,3,,,
Windsor,21,21,24,86,87,83,,,37,0,0,,,
Totals,2141,2528,2233,3172,3182,2884,,,2359,3,5,,,
District No. 31 (1),"Molly C. Howard, d","Jarvis M. Adams IV, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,
Greenfield,445,611,,,,,,,36,1,0,,,
Hancock,799,470,,,,,,,54,0,0,,,
Totals,1244,1081,,,,,,,90,1,0,,,
District No. 32 (3),"Jennifer Bernet, d","Mike Pellerito, d","Kermit Williams, d","Diane Kelley, r","Jim Kofalt, r","Shane Sirois, r",,,Undervotes,Overvotes,Write-Ins,,,
New Ipswich,808,858,770,2169,2128,2240,,,923,0,0,,,
Temple,418,409,406,465,423,435,,,339,,0,,,
Wilton,1151,1082,1168,1150,1115,1014,,,959,0,1,,,
Totals,2377,2349,2344,3784,3666,3689,,,2221,0,1,,,
District No. 33 (2),"Peter R. Leishman, d","Jonah Orion Wheeler, d","Kimberly Thomas, r",,,,,,Undervotes,Overvotes,Write-Ins,,,
Peterborough,2799,2789,1413,,,,,,1803,,26,,,
Sharon,133,131,142,,,,,,180,0,2,,,
Totals,2932,2920,1555,,,,,,1983,0,28,,,
District No. 34 (3),"Stephanie Grund, d","Daniel LeClerc, d","Daniel Veilleux, d","Russ Hodgkins, r","Diane Layton, r","Terry Reiber, r",,,Undervotes,Overvotes,Write-Ins,,,
Amherst,4209,3979,4025,3484,3478,3240,,,2115,3,0,,,
District No. 35 (2),"Kat McGhee, d","Will Walker, d","Liz Barbour, r","Sue Homola, r",,,,,Undervotes,Overvotes,Write-Ins,,,
Hollis,2856,2665,2867,2682,,,,,664,0,7,,,
District No. 36 (2),"Peter A. Cook, d","Carol Schreck, d","Diane Pauer, r","John W. Suiter, r",,,,,Undervotes,Overvotes,Write-Ins,,,
Brookline,1698,1547,1860,1668,,,,,626,0,1,,,
Greenville,381,362,513,490,,,,,334,0,0,,,
Mason,330,348,483,532,,,,,237,,1,,,
Totals,2409,2257,2856,2690,,,,,1197,0,2,,,
District No. 37 (1) FL,"Megan A. Murray, d","Pamela D. Coughlin, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,
Amherst,4103,3655,,,,,,,412,4,1,,,
Milford,4321,4635,,,,,,,544,0,12,,,
Totals,8424,8290,,,,,,,956,4,13,,,
District No. 38 (2) FL,"Luan Baci, d","Ralph G. Boehm, r","Kim Rice, r",,,,,,Undervotes,Overvotes,Write-Ins,,,
Hudson," 	5,466 "," 	7,066 ",7986,,,,,,8864,0,20,,,
Litchfield," 	2,025 "," 	2,931 ",3084,,,,,,2994,0,5,,,
Totals," 	7,491 "," 	9,997 ",11070,,,,,,11858,0,25,,,
District No. 39 (2) FL,"Benjamin C. Baroody, d","Maxine B. Mosley, d","Jonathan Morton, r","Mark Warden, r",,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 6," 	2,179 "," 	2,220 ",2244,2319,,,,,1704,0,3,,,
Manchester Ward 8," 	2,155 "," 	2,135 ",2428,2574,,,,,1685,0,3,,,
Manchester Ward 9," 	1,783 "," 	1,765 ",1766,1734,,,,,1332,4,8,,,
Totals," 	6,117 "," 	6,120 ",6438,6627,,,,,4721,4,14,,,
District No. 40 (4) FL,"Suraj Budathoki, d","Erin Kerwin, d","Mark S. MacKenzie, d","Trinidad Tellez, d",,,,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 1,2474,2810,2716,2546,,,,,4252,0,16,,,
Manchester Ward 3,1556,1691,1680,1613,,,,,2984,0,1,,,
Manchester Ward 10,1476,1738,1743,1555,,,,,3822,9,14,,,
Manchester Ward 11,1410,1572,1566,1461,,,,,3098,0,5,,,
Manchester Ward 12,1899,2100,2072,1960,,,,,2965,0,7,,,
Totals,8815,9911,9777,9135,,,,,17121,9,43,,,
,"Carla Gericke, r","Carlos Gonzalez, r","Alex Krantz, r","Andre Rosa, r",,,,,,,,,,
Manchester Ward 1,1929,2043,2037,1938,,,,,,,,,,
Manchester Ward 3,1084,1156,1103,1097,,,,,,,,,,
Manchester Ward 10,1686,1780,1658,1631,,,,,,,,,,
Manchester Ward 11,1390,1453,1365,1379,,,,,,,,,,
Manchester Ward 12,1800,2028,1829,1776,,,,,,,,,,
Totals,7889,8460,7992,7821,,,,,,,,,,
District No 41 (3) FL,"Lily M. Foss, d","Tim Hartnett, d","Karen Hegner, d","Lee Xavier Davis, r","Ryan Hebert, r","Melodye LaChance Smith, r",,,Undervotes,Overvotes,Write-Ins,,,
Manchester Ward 2,2494,2399,2237,1747,1940,1781,,,3137,6,6,,,
Manchester Ward 4,1690,1545,1441,1190,1372,1207,,,2606,0,10,,,
Manchester Ward 5,1227,1179,1096,913,1012,872,,,2196,3,0,,,
Manchester Ward 7,1674,1519,1475,1304,1495,1324,,,2852,0,4,,,
Totals,7085,6642,6249,5154,5819,5184,,,10791,9,20,,,
District No 42 (3),"Sarah E. Chadzynski, d","Brian Paquette, d","Andrew Stokinger, d","Keith Ammon, r","Gerald Griffin, r","Lisa C.M. Post, r",,,Undervotes,Overvotes,Write-Ins,,,
Lyndeborough,496,473,423,570,555,613,,,417,0,0,,,
Mont Vernon,897,904,876,835,842,804,,,510,0,1,,,
New Boston,1707,1753,1603,1971,1952,1959,,,1166,0,8,,,
Totals,3100,3130,2902,3376,3349,3376,,,2093,0,9,,,
District No 43 (4),"Paul Dargie, d","Scott Lawrence, d","Peter Petrigno, d","Michael Varraso, d",,,,,Undervotes,Overvotes,Write-Ins,,,
Milford,4236,3892,4480,3821,,,,,4779,1,12,,,
,"Gary L. Daniels, r","Michael Facques, r","Elizabeth Keenan, r","Vanessa L. Sheehan, r",,,,,,,,,,
Milford,4297,4111,4050,4351,,,,,,,,,,
District No. 44 (2),"Eric Emmerling, d","Marie B. Morgan, d","Ross Berry, r","Lisa Mazur, r",,,,,Undervotes,Overvotes,Write-Ins,,,
Goffstown," 	4,170 "," 	4,412 ",4854,5034,,,,,2693,0,6,,,
Weare," 	1,729 "," 	1,917 ",3017,3235,,,,,1580,0,0,,,
Totals," 	5,899 "," 	6,329 ",7871,8269,,,,,4273,0,6,,,
District No. 45 (1) FL,"Karen Calabro, d","Jack Flanagan, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,
Brookline," 	1,622 ",1933,,,,,,,141,0,2,,,
Greenville, 	381 ,582,,,,,,,77,0,0,,,
Hollis," 	2,784 ",2845,,,,,,,234,1,7,,,
Mason, 	331 ,593,,,,,,,41,,2,,,
Totals," 	5,118 ",5953,,,,,,,493,1,11,,,
