elec_date,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
6/28/2022,"MURRAY COUNTY",13449,"FOR COUNTY COMMISSIONER DISTRICT NO. 3",DEM,3,3,2,"CHARITY LOPER",DEM,1,3,74,78,MURRAY
6/28/2022,"OKLAHOMA COUNTY",13454,"FOR COUNTY COMMISSIONER DISTRICT NO. 3",DEM,97,97,1,"JAY BRIDWELL",DEM,545,95,3546,4186,OKLAHOMA
6/28/2022,"OKLAHOMA COUNTY",13454,"FOR COUNTY COMMISSIONER DISTRICT NO. 3",DEM,97,97,2,"CATHY CUMMINGS",DEM,1349,337,8876,10562,OKLAHOMA
6/28/2022,"OSAGE COUNTY",13456,"FOR COUNTY COMMISSIONER DISTRICT NO. 3",DEM,10,10,1,"TED S SMITH",DEM,12,0,119,131,OSAGE
6/28/2022,"OSAGE COUNTY",13456,"FOR COUNTY COMMISSIONER DISTRICT NO. 3",DEM,10,10,2,"JOE WILLIAMS",DEM,97,3,676,776,OSAGE
6/28/2022,"OSAGE COUNTY",13456,"FOR COUNTY COMMISSIONER DISTRICT NO. 3",DEM,10,10,3,"JIMMY GRIGG",DEM,13,7,311,331,OSAGE
6/28/2022,"FEDERAL, STATE AND COUNTY",19009,"FOR DISTRICT JUDGE DISTRICT 5, OFFICE 3",,84,84,1,"TOMMY SIMS",,93,110,1989,2192,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19009,"FOR DISTRICT JUDGE DISTRICT 5, OFFICE 3",,84,84,2,"NEIL WEST",,200,478,4581,5259,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19009,"FOR DISTRICT JUDGE DISTRICT 5, OFFICE 3",,84,84,3,"STEVEN W. CROW",,94,186,3120,3400,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19009,"FOR DISTRICT JUDGE DISTRICT 5, OFFICE 3",,84,84,4,"JAY WALKER",,157,378,4735,5270,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19015,"FOR DISTRICT JUDGE DISTRICT 7, OFFICE 3",,85,85,1,"JOAN L. LOPEZ",,325,76,3720,4121,,
