elec_date,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
6/28/2022,"FEDERAL, STATE AND COUNTY",19015,"FOR DISTRICT JUDGE DISTRICT 7, OFFICE 3",,85,85,2,"AMY PALUMBO",,1661,395,13456,15512,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19015,"FOR DISTRICT JUDGE DISTRICT 7, OFFICE 3",,85,85,3,"MERYDITH EASTER",,825,181,7581,8587,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19017,"FOR DISTRICT JUDGE DISTRICT 7, OFFICE 5",,290,290,1,"BEAU PHILLIPS",,1069,406,16663,18138,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19017,"FOR DISTRICT JUDGE DISTRICT 7, OFFICE 5",,290,290,2,"JASON SEABOLT",,1296,390,15982,17668,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19017,"FOR DISTRICT JUDGE DISTRICT 7, OFFICE 5",,290,290,3,"NATALIE MAI",,6049,1998,51968,60015,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19025,"FOR DISTRICT JUDGE DISTRICT 7, OFFICE 13",,290,290,1,"MIGUEL A GARCIA",,1439,509,18349,20297,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19025,"FOR DISTRICT JUDGE DISTRICT 7, OFFICE 13",,290,290,2,"RAND EDDY",,2160,587,19878,22625,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19025,"FOR DISTRICT JUDGE DISTRICT 7, OFFICE 13",,290,290,3,"K. NIKKI KIRKPATRICK",,4791,1715,45363,51869,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19047,"FOR DISTRICT JUDGE DISTRICT 14, OFFICE 12",,251,251,1,"TANYA N. WILSON",,2237,905,30348,33490,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19047,"FOR DISTRICT JUDGE DISTRICT 14, OFFICE 12",,251,251,2,"TODD TUCKER",,466,227,11383,12076,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19047,"FOR DISTRICT JUDGE DISTRICT 14, OFFICE 12",,251,251,3,"KEVIN GRAY",,1367,617,28055,30039,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19067,"FOR DISTRICT JUDGE DISTRICT 23, OFFICE 1",,50,50,1,"JOE DOBRY",,347,416,5394,6157,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19067,"FOR DISTRICT JUDGE DISTRICT 23, OFFICE 1",,50,50,2,"TRACI L SODERSTROM",,549,577,6436,7562,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19067,"FOR DISTRICT JUDGE DISTRICT 23, OFFICE 1",,50,50,3,"CHAD MOODY",,135,103,1946,2184,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19102,"FOR ASSOCIATE DISTRICT JUDGE GRANT COUNTY",,7,7,1,"STEVEN A. YOUNG",,4,4,107,115,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19102,"FOR ASSOCIATE DISTRICT JUDGE GRANT COUNTY",,7,7,2,"BILL SHAW",,4,18,282,304,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19102,"FOR ASSOCIATE DISTRICT JUDGE GRANT COUNTY",,7,7,3,"JEFF CRITES",,12,54,518,584,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19114,"FOR ASSOCIATE DISTRICT JUDGE LATIMER COUNTY",,13,13,1,"JANICE KAY SKIMBO",,12,50,436,498,,
6/28/2022,"FEDERAL, STATE AND COUNTY",19114,"FOR ASSOCIATE DISTRICT JUDGE LATIMER COUNTY",,13,13,2,"MEG NICHOLSON",,17,94,547,658,,
