elstats_search_e5d12a547abf8d04
contest_id,election_id,election_date,election_type,primary_party,question_text,question_type,office_id,office_name,office_modifier,district_id,district_type,district_name,candidate_id,candidate_name,retention_candidate_id,retention_candidate_name,division_id,division_type,division_name,vote_channel,is_winner,number_seats,candidate_party_id,candidate_party_name,votes
36464,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4435,State Representative District,23,2,Total Votes Cast,,,6454,Polling Place,2-Teresa Mulvey Municipal Center - 2,Early,FALSE,1,,,990
36464,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4435,State Representative District,23,1,Total Ballots Cast,,,6454,Polling Place,2-Teresa Mulvey Municipal Center - 2,Same Day Registration,FALSE,1,,,56
36464,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4435,State Representative District,23,1,Total Ballots Cast,,,6454,Polling Place,2-Teresa Mulvey Municipal Center - 2,Unknown,FALSE,1,,,16
36464,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4435,State Representative District,23,1,Total Ballots Cast,,,6454,Polling Place,2-Teresa Mulvey Municipal Center - 2,Election Day,FALSE,1,,,593
36464,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4435,State Representative District,23,1,Total Ballots Cast,,,6454,Polling Place,2-Teresa Mulvey Municipal Center - 2,Absentee,FALSE,1,,,149
36464,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4435,State Representative District,23,1,Total Ballots Cast,,,6454,Polling Place,2-Teresa Mulvey Municipal Center - 2,Early,FALSE,1,,,990
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,371,City/Town,New Britain,Same Day Registration,TRUE,1,1,Democratic,134
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,371,City/Town,New Britain,Unknown,TRUE,1,1,Democratic,118
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,371,City/Town,New Britain,Election Day,TRUE,1,1,Democratic,2758
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,371,City/Town,New Britain,Absentee,TRUE,1,1,Democratic,310
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,371,City/Town,New Britain,Early,TRUE,1,1,Democratic,1380
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,371,City/Town,New Britain,Same Day Registration,TRUE,1,7,Working Families,16
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,371,City/Town,New Britain,Unknown,TRUE,1,7,Working Families,9
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,371,City/Town,New Britain,Election Day,TRUE,1,7,Working Families,249
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,371,City/Town,New Britain,Absentee,TRUE,1,7,Working Families,14
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,371,City/Town,New Britain,Early,TRUE,1,7,Working Families,74
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,21281,Alden Russell,,,371,City/Town,New Britain,Same Day Registration,FALSE,1,2,Republican,80
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,21281,Alden Russell,,,371,City/Town,New Britain,Unknown,FALSE,1,2,Republican,0
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,21281,Alden Russell,,,371,City/Town,New Britain,Election Day,FALSE,1,2,Republican,1814
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,21281,Alden Russell,,,371,City/Town,New Britain,Absentee,FALSE,1,2,Republican,115
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,21281,Alden Russell,,,371,City/Town,New Britain,Early,FALSE,1,2,Republican,622
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,7667,Alfred P. Mayo,,,371,City/Town,New Britain,Same Day Registration,FALSE,1,9,Petitioning Candidate,0
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,7667,Alfred P. Mayo,,,371,City/Town,New Britain,Unknown,FALSE,1,9,Petitioning Candidate,0
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,7667,Alfred P. Mayo,,,371,City/Town,New Britain,Election Day,FALSE,1,9,Petitioning Candidate,23
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,7667,Alfred P. Mayo,,,371,City/Town,New Britain,Absentee,FALSE,1,9,Petitioning Candidate,1
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,7667,Alfred P. Mayo,,,371,City/Town,New Britain,Early,FALSE,1,9,Petitioning Candidate,3
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,2,Total Votes Cast,,,371,City/Town,New Britain,Same Day Registration,FALSE,1,,,230
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,2,Total Votes Cast,,,371,City/Town,New Britain,Unknown,FALSE,1,,,127
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,2,Total Votes Cast,,,371,City/Town,New Britain,Election Day,FALSE,1,,,4844
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,2,Total Votes Cast,,,371,City/Town,New Britain,Absentee,FALSE,1,,,440
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,2,Total Votes Cast,,,371,City/Town,New Britain,Early,FALSE,1,,,2079
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,1,Total Ballots Cast,,,371,City/Town,New Britain,Same Day Registration,FALSE,1,,,230
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,1,Total Ballots Cast,,,371,City/Town,New Britain,Unknown,FALSE,1,,,127
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,1,Total Ballots Cast,,,371,City/Town,New Britain,Election Day,FALSE,1,,,4844
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,1,Total Ballots Cast,,,371,City/Town,New Britain,Absentee,FALSE,1,,,440
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,1,Total Ballots Cast,,,371,City/Town,New Britain,Early,FALSE,1,,,2079
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6335,Polling Place,1-Gaffney School,Same Day Registration,TRUE,1,1,Democratic,27
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6335,Polling Place,1-Gaffney School,Unknown,TRUE,1,1,Democratic,19
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6335,Polling Place,1-Gaffney School,Election Day,TRUE,1,1,Democratic,402
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6335,Polling Place,1-Gaffney School,Absentee,TRUE,1,1,Democratic,32
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6335,Polling Place,1-Gaffney School,Early,TRUE,1,1,Democratic,145
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6335,Polling Place,1-Gaffney School,Same Day Registration,TRUE,1,7,Working Families,0
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6335,Polling Place,1-Gaffney School,Unknown,TRUE,1,7,Working Families,1
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6335,Polling Place,1-Gaffney School,Election Day,TRUE,1,7,Working Families,24
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6335,Polling Place,1-Gaffney School,Absentee,TRUE,1,7,Working Families,0
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,58590,"Emmanuel ""Manny"" Sanchez",,,6335,Polling Place,1-Gaffney School,Early,TRUE,1,7,Working Families,12
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,21281,Alden Russell,,,6335,Polling Place,1-Gaffney School,Same Day Registration,FALSE,1,2,Republican,12
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,21281,Alden Russell,,,6335,Polling Place,1-Gaffney School,Unknown,FALSE,1,2,Republican,0
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,21281,Alden Russell,,,6335,Polling Place,1-Gaffney School,Election Day,FALSE,1,2,Republican,241
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,21281,Alden Russell,,,6335,Polling Place,1-Gaffney School,Absentee,FALSE,1,2,Republican,11
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,21281,Alden Russell,,,6335,Polling Place,1-Gaffney School,Early,FALSE,1,2,Republican,53
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,7667,Alfred P. Mayo,,,6335,Polling Place,1-Gaffney School,Same Day Registration,FALSE,1,9,Petitioning Candidate,0
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,7667,Alfred P. Mayo,,,6335,Polling Place,1-Gaffney School,Unknown,FALSE,1,9,Petitioning Candidate,0
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,7667,Alfred P. Mayo,,,6335,Polling Place,1-Gaffney School,Election Day,FALSE,1,9,Petitioning Candidate,9
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,7667,Alfred P. Mayo,,,6335,Polling Place,1-Gaffney School,Absentee,FALSE,1,9,Petitioning Candidate,0
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,7667,Alfred P. Mayo,,,6335,Polling Place,1-Gaffney School,Early,FALSE,1,9,Petitioning Candidate,1
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,2,Total Votes Cast,,,6335,Polling Place,1-Gaffney School,Same Day Registration,FALSE,1,,,39
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,2,Total Votes Cast,,,6335,Polling Place,1-Gaffney School,Unknown,FALSE,1,,,20
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,2,Total Votes Cast,,,6335,Polling Place,1-Gaffney School,Election Day,FALSE,1,,,676
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,2,Total Votes Cast,,,6335,Polling Place,1-Gaffney School,Absentee,FALSE,1,,,43
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,2,Total Votes Cast,,,6335,Polling Place,1-Gaffney School,Early,FALSE,1,,,211
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,1,Total Ballots Cast,,,6335,Polling Place,1-Gaffney School,Same Day Registration,FALSE,1,,,39
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,1,Total Ballots Cast,,,6335,Polling Place,1-Gaffney School,Unknown,FALSE,1,,,20
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,1,Total Ballots Cast,,,6335,Polling Place,1-Gaffney School,Election Day,FALSE,1,,,676
36465,582,2024-11-05T00:00:00Z,General,,,,49,State Representative,,4466,State Representative District,24,1,Total Ballots Cast,,,6335,Polling Place,1-Gaffney School,Absentee,FALSE,1,,,43
