Table 1
DIST,CTY,Municipality,"Bernard, Susan Y.","McLaughlin, Vaughn James",,,
,,,Caribou,Fort Fairfield,,,
,,,Republican,Democratic,Blank,TBC,
25,CUM,Gray,2610,2744,296,5650,
25,CUM,Long Island,130,61,11,202,
25,CUM,North Yarmouth,1862,1123,108,3093,
25,CUM,Yarmouth,3159,1104,236,4499,
25,,STATE UOCAVA,238,39,13,290,
,,Total,17896,9835,1177,28908,
,,,,,,,
,,,"Cianchette, Kenneth J.","Nangle, Timothy E.",,,
,,,Windham,Windham,,,
DIST,CTY,Municipality,Republican,Democratic,Blank,TBC,
26,CUM,Casco,1221,986,122,2329,
26,CUM,Frye Island,25,22,2,49,
26,CUM,Raymond,1626,1517,134,3277,
26,CUM,Westbrook,2577,4041,305,6923,
26,CUM,Windham,5699,5474,422,11595,
26,,STATE UOCAVA,29,84,5,118,
,,Total,11177,12124,990,24291,
,,,,,,,
,,,"Duson, Jill C.","Holman, Dale Jay",,,
,,,Portland,Portland,,,
DIST,CTY,Municipality,Democratic,Republican,Blank,TBC,
27,CUM,Portland,13808,3705,815,18328,
27,CUM,Westbrook,2510,1148,233,3891,
27,,STATE UOCAVA,182,23,13,218,
,,Total,16500,4876,1061,22437,
,,,,,,,
,,,"Ross, Rachel Talbot",,,,
,,,Portland,,,,
DIST,CTY,Municipality,Democratic,Blank,TBC,,
28,CUM,Portland,17926,3580,21506,,
28,,STATE UOCAVA,328,51,379,,
,,Total,18254,3631,21885,,
,,,,,,,
,,,"Carney, Anne M.","Howell, Christopher M.",,,
,,,Cape Elizabeth,South Portland,,,
DIST,CTY,Municipality,Democratic,Republican,Blank,TBC,
29,CUM,Cape Elizabeth,5241,1498,194,6933,
29,CUM,Scarborough,832,343,66,1241,
29,CUM,South Portland,11200,4013,798,16011,
29,,STATE UOCAVA,245,30,13,288,
,,Total,17518,5884,1071,24473,
,,,,,,,
,,,"Brenner, Stacy Fielding","Hamill, Donald R.",,,
,,,Scarborough,Scarborough,,,
DIST,CTY,Municipality,Democratic,Republican,Blank,TBC,
30,CUM,Gorham,6411,4515,634,11560,
30,CUM,Scarborough,8489,5323,570,14382,
30,,STATE UOCAVA,121,37,6,164,
,,Total,15021,9875,1210,26106,
,,,,,,,
,,,"Bailey, Donna","Pendleton, Craig A.",,,
,,,Saco,Old Orchard Beach,,,
DIST,CTY,Municipality,Democratic,Unenrolled,Blank,TBC,
31,YOR,Buxton,2193,2550,593,5336,
31,YOR,Old Orchard Beach,3253,2566,497,6316,
31,YOR,Saco,7556,4480,921,12957,
31,,STATE UOCAVA,105,28,7,140,
,,Total,13107,9624,2018,24749,
,,,,,,,
,,,"Ingwersen, Henry L.","Schutz, Alfred F.",,,
,,,Arundel,Arundel,,,
DIST,CTY,Municipality,Democratic,Republican,Blank,TBC,
32,YOR,Arundel,1538,1221,158,2917,
32,YOR,Biddeford,7200,3704,637,11541,
32,YOR,Dayton,669,729,82,1480,
32,YOR,Hollis,1376,1596,164,3136,
32,YOR,Lyman,1392,1457,260,3109,
32,,STATE UOCAVA,87,22,6,115,
,,Total,12262,8729,1307,22298,
,,,,,,,
,,,"Harrington, Matthew A.","Lauzon, Daniel J.",,,
,,,Sanford,Lebanon,,,
DIST,CTY,Municipality,Republican,Democratic,Blank,TBC,
33,YOR,Alfred,1149,849,78,2076,
33,YOR,Lebanon,2243,1112,268,3623,
33,YOR,Sanford,6182,4397,634,11213,
33,YOR,Waterboro,2841,1661,249,4751,
33,,STATE UOCAVA,17,57,6,80,
,,Total,12432,8076,1235,21743,
,,,,,,,
,,,"Ducharme, Bradley Scott","Rafferty, Joseph E. Jr.",,,
,,,Kennebunk,Kennebunk,,,
DIST,CTY,Municipality,Republican,Democratic,Blank,TBC,
34,YOR,Berwick,2467,1975,271,4713,
34,YOR,Kennebunk,2731,5523,271,8525,
34,YOR,Kennebunkport,1010,1730,76,2816,
34,YOR,North Berwick,1815,1337,130,3282,
34,YOR,Wells,3872,4291,368,8531,
34,,STATE UOCAVA,46,208,16,270,
