elec_date,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
6/18/2024,"TULSA COUNTY",13434,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",DEM,83,83,1,"MARIA VELIZ BARNES",DEM,130,57,1722,1909,TULSA
6/18/2024,"TULSA COUNTY",13434,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",DEM,83,83,2,"SARAH ELIZABETH GRAY",DEM,162,92,1898,2152,TULSA
6/18/2024,"TULSA COUNTY",13434,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",DEM,83,83,3,"JIM REA",DEM,145,92,1417,1654,TULSA
6/18/2024,"PITTSBURG COUNTY",13444,"FOR COUNTY ASSESSOR (UNEXPIRED TERM)",DEM,38,38,1,"CATHY RIDENOUR",DEM,26,79,907,1012,PITTSBURG
6/18/2024,"PITTSBURG COUNTY",13444,"FOR COUNTY ASSESSOR (UNEXPIRED TERM)",DEM,38,38,2,"RICHARD HOWRY",DEM,12,17,282,311,PITTSBURG
6/18/2024,"ALFALFA COUNTY",30001,"PROPOSITION",,8,8,1,"FOR THE PROPOSITION - YES",,12,65,726,803,ALFALFA
6/18/2024,"ALFALFA COUNTY",30001,"PROPOSITION",,8,8,2,"AGAINST THE PROPOSITION - NO",,4,6,157,167,ALFALFA
6/18/2024,"CARTER COUNTY",30002,"PROPOSITION",,28,28,1,"FOR THE PROPOSITION - YES",,117,443,4070,4630,CARTER
6/18/2024,"CARTER COUNTY",30002,"PROPOSITION",,28,28,2,"AGAINST THE PROPOSITION - NO",,47,127,1645,1819,CARTER
6/18/2024,"TOWN OF CALERA",40701,"PROPOSITION  TOWN OF CALERA",,3,3,1,"FOR THE PROPOSITION - YES",,2,4,75,81,,
6/18/2024,"TOWN OF CALERA",40701,"PROPOSITION  TOWN OF CALERA",,3,3,2,"AGAINST THE PROPOSITION - NO",,4,2,110,116,,
