Table 1
State of New Hampshire - 2024 General Election,,,,,,,,,,,
State Representative - MERRIMACK County ,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,,
District No. 21 (1),"Timothy Soucy, d","Robert G. Bertrand, r",,,,,,,Undervotes,Overvotes,Write-Ins
Concord Ward 7,1849,907,,,,,,,190,0,1
District No. 22 (1),"James Leon Roesener, d","Dennis Blankenbeker, r",,,,,,,Undervotes,Overvotes,Write-Ins
Concord Ward 8,1244,986,,,,,,,180,0,1
District No. 23 (1),"Merryl Gibbs, d","Andrew Georgevits, r",,,,,,,Undervotes,Overvotes,Write-Ins
Concord Ward 9,1099,974,,,,,,,124,0,1
District No. 24 (1),"Matthew S. Hicks, d","Thom Bloomquist, r",,,,,,,Undervotes,Overvotes,Write-Ins
Concord Ward 10,1786,1166,,,,,,,158,0,1
District No. 25 (1)FL,"Joyce May Fulweiler, d","James Thibault, r",,,,,,,Undervotes,Overvotes,Write-Ins
Franklin Ward 1,484,921,,,,,,,111,0,0
Franklin Ward 2,560,773,,,,,,,95,0,1
Franklin Ward 3,614,863,,,,,,,110,0,0
Northfield,1028,1548,,,,,,,226,0,1
Totals,2686,4105,,,,,,,542,0,2
District No. 26 (1)FL,"Mason Donovan, d","Alvin B. See, r",,,,,,,Undervotes,Overvotes,Write-Ins
Andover, 	762 ,733,,,,,,,123,1,0
Boscawen, 	879 ,1096,,,,,,,211,0,3
Canterbury, 	900 ,738,,,,,,,116,0,1
Danbury, 	279 ,498,,,,,,,57,0,0
Hill, 	201 ,412,,,,,,,57,0,0
Loudon," 	1,281 ",2213,,,,,,,246,0,0
Salisbury, 	346 ,583,,,,,,,81,0,0
Webster, 	506 ,686,,,,,,,110,0,1
Totals," 	5,154 ",6959,,,,,,,1001,1,5
District No. 27 (2)FL,"Phillip James Walker, d","Kathleen Martins, d","Carol McGuire, r","Ray Plante, r",,,,,Undervotes,Overvotes,Write-Ins
Allenstown,892,1038,1317,1180,,,,,897,0,0
Dunbarton,718,740,1138,1138,,,,,501,0,1
Epsom,864,979,1762,1501,,,,,984,0,4
Hooksett,3151,3608,4419,4089,,,,,2709,0,2
Totals,5625,6365,8636,7908,,,,,5091,0,7
District No. 28 (1)FL,"Jim Snodgrass, d","Brian Blackden, r",,,,,,,Undervotes,Overvotes,Write-Ins
Concord Ward 1,1388,1016,,,,,,,175,0,2
Concord Ward 2,1252,920,,,,,,,129,0,0
