elections-2022 (1)
County,Office,Candidate,Party,District,Votes
,State Representative,Vanessa J. Summers,Democratic,99,8539
,State Representative,Vernon G. Smith,Democratic,14,11848
,State Representative,Victoria Garcia Wilburn,Democratic,32,12508
,State Representative,Zack Davis,Democratic,75,6201
,State Representative,Abby Norden,Independent,81,38
,State Representative,Cheryl Batteiger-Smith,Independent,76,1860
,State Representative,Cody Alsman,Independent,45,5805
,State Representative,Karl J. Knable,Independent,93,875
,State Representative,Kenneth A Tucker,Independent,24,660
,State Representative,Edgar Amaro Villegas,Libertarian,97,238
,State Representative,Jada Burton,Libertarian,77,2508
,State Representative,Josh Vergiels,Libertarian,22,784
,State Representative,Morgan Rigg,Libertarian,52,3000
,State Representative,Noah Leininger,Party for Socialism and Liberation,90,259
,State Representative,Alan Morrison,Republican,42,13800
,State Representative,Andrew McNeil,Republican,43,6336
,State Representative,Ann Vermilion,Republican,31,13165
,State Representative,Beau Baird,Republican,44,14229
,State Representative,Becky Cash,Republican,25,12370
,State Representative,Ben Smaltz,Republican,52,13386
,State Representative,Bob Heaton,Republican,46,13420
,State Representative,Bob Morris,Republican,84,13824
,State Representative,Brad Barrett,Republican,56,11764
,State Representative,Bruce Borders,Republican,45,13413
,State Representative,Charles B. Kallas,Republican,12,10031
,State Representative,Chris Jeter,Republican,88,14707
,State Representative,Chris May,Republican,65,14648
,State Representative,Christopher N. Judy,Republican,83,17676
,State Representative,Chuck Goodrich,Republican,29,17082
,State Representative,Cindy Ledbetter,Republican,75,14841
,State Representative,Cory Criswell,Republican,54,13886
,State Representative,Craig Haggard,Republican,57,14055
,State Representative,Craig Snow,Republican,22,14745
,State Representative,Dale Basham,Republican,34,6849
,State Representative,Dale DeVon,Republican,5,11738
,State Representative,Dave Hall,Republican,62,12990
,State Representative,Dave Heine,Republican,85,16131
,State Representative,David H. Abbott,Republican,18,17081
,State Representative,Davyd Jones,Republican,82,5625
,State Representative,Dennis J Zent,Republican,51,10758
,State Representative,Dion Bergeron,Republican,9,9576
,State Representative,Donna Schaibley,Republican,24,14674
,State Representative,Doug Miller,Republican,48,11950
,State Representative,Ed Soliday,Republican,4,19293
,State Representative,Edward D. (Ed) Clere,Republican,72,13386
,State Representative,Elizabeth Rowray,Republican,35,14948
,State Representative,Ethan Manning,Republican,23,12346
,State Representative,Felipe Rios,Republican,99,1800
,State Representative,Fred Duttlinger,Republican,26,4828
,State Representative,Fred Glynn,Republican,32,12260
,State Representative,Gregory E Steuerwald,Republican,40,12883
,State Representative,Hal Slager,Republican,15,16291
,State Representative,Heath R. VanNatter,Republican,38,19183
,State Representative,Jack Jordan,Republican,17,13863
,State Representative,Jake Teshka,Republican,7,11969
,State Representative,James Hass,Republican,27,4948
,State Representative,Jeffrey A. Thompson,Republican,28,16267
,State Representative,Jennifer Meltzer,Republican,73,13437
,State Representative,Jerry Torr,Republican,39,14757
,State Representative,Jim Lucas,Republican,69,12526
,State Representative,Jim Pressel,Republican,20,15197
,State Representative,Joanna King,Republican,49,10422
,State Representative,John (J.D.) Prescott,Republican,33,13979
,State Representative,John L Couch,Republican,92,6135
,State Representative,John P. Schmitz,Republican,97,3333
,State Representative,Jordan A. Davis,Republican,87,9124
,State Representative,Julie A. McGuire,Republican,93,7959
,State Representative,Julie Olthoff,Republican,19,13662
,State Representative,Karen Engleman,Republican,70,18018
,State Representative,Kendell Culp,Republican,16,15546
,State Representative,Kyle Pierce,Republican,36,8904
,State Representative,Lindsay Patterson,Republican,55,17233
,State Representative,Lorissa Sweet,Republican,50,16417
,State Representative,Manuel A. Maldonado,Republican,10,8977
,State Representative,Mark J. Genda,Republican,41,12813
,State Representative,Mark Small,Republican,86,7709
,State Representative,Martin Carbaugh,Republican,81,14854
,State Representative,Matt Hostettler,Republican,64,17048
,State Representative,Matthew S. Lehman,Republican,79,15679
,State Representative,Michael J. Aylesworth,Republican,11,16332
,State Representative,Michael-Paul Hart,Republican,89,6695
,State Representative,Michelle Davis,Republican,58,12112
,State Representative,Mike Karickhoff,Republican,30,12235
,State Representative,Mike Speedy,Republican,90,13610
,State Representative,Peggy Mayfield,Republican,60,16633
,State Representative,Randy Frye,Republican,67,16855
,State Representative,Randy Lyness,Republican,68,16543
,State Representative,Robb Greene,Republican,47,15803
,State Representative,Robert W. Behning,Republican,91,9556
,State Representative,Robert W. Cherry,Republican,53,15978
,State Representative,Ryan Lauer,Republican,59,11019
,State Representative,Scott Hawkins,Republican,71,9076
,State Representative,Shane M. Lindauer,Republican,63,14558
,State Representative,Sharon Negele,Republican,13,15312
,State Representative,Stephen R. Bartels,Republican,74,17973
,State Representative,Tim O'Brien,Republican,78,13143
,State Representative,Timothy Wesco,Republican,21,9466
,State Representative,Todd Huston,Republican,37,16069
,State Representative,Wendy (Mac) McNamara,Republican,76,12577
,State Representative,Zach Payne,Republican,66,14565
