elections-2022 (1)
County,Office,Candidate,Party,District,Votes
,State Representative,Amanda Qualls,Democratic,49,5095
,State Representative,Andy Miller,Democratic,93,4965
,State Representative,Blake Johnson,Democratic,100,11558
,State Representative,Brad Sowinski,Democratic,35,6393
,State Representative,C. Yvonne Washington,Democratic,56,5057
,State Representative,Camden Chaffee,Democratic,21,3367
,State Representative,Carey Hamilton,Democratic,87,15477
,State Representative,Carolyn B. Jackson,Democratic,1,8833
,State Representative,Chad Harmon,Democratic,69,4475
,State Representative,Charles (Chuck) Moseley,Democratic,10,10043
,State Representative,Cherrish S. Pryor,Democratic,94,11206
,State Representative,Chris Campbell,Democratic,26,7201
,State Representative,Chris Kukuch,Democratic,15,9468
,State Representative,Dee M Moore,Democratic,22,3053
,State Representative,Donna L. Griffin,Democratic,88,9866
,State Representative,Earl Harris Jr.,Democratic,2,10116
,State Representative,Edward O. DeLaney,Democratic,86,19191
,State Representative,Greg A. Woods,Democratic,41,4212
,State Representative,Gregory W. Porter,Democratic,96,17468
,State Representative,Heidi Beidinger,Democratic,5,8966
,State Representative,James (Jim) White,Democratic,17,4673
,State Representative,Jason Joe Shemanski,Democratic,70,6014
,State Representative,Jason Salstrom,Democratic,78,7818
,State Representative,Jen Bass-Patino,Democratic,25,11097
,State Representative,Joellyn (Joey) Mayer,Democratic,24,10571
,State Representative,John E Bartlett,Democratic,33,5882
,State Representative,John L Bartlett,Democratic,95,10597
,State Representative,Justin Moed,Democratic,97,5103
,State Representative,Katherine (Kathy) Rybak,Democratic,76,6460
,State Representative,Kathy Thorpe,Democratic,60,5415
,State Representative,Keil L. Roark,Democratic,72,8773
,State Representative,Kevin Goodman,Democratic,65,4198
,State Representative,Kurtis J Cummings,Democratic,46,6686
,State Representative,Kyle R Miller,Democratic,82,7270
,State Representative,Lisa Beck,Democratic,19,9605
,State Representative,Mark Spelbring,Democratic,42,6379
,State Representative,Mary L. (Mimi) Pruett,Democratic,73,3988
,State Representative,Matt McNally,Democratic,39,13430
,State Representative,Matt Pierce,Democratic,61,11698
,State Representative,Maureen Bauer,Democratic,6,9165
,State Representative,Michael (Mike) Travis,Democratic,51,3469
,State Representative,Mike Andrade,Democratic,12,12556
,State Representative,Mitch Gore,Democratic,89,6960
,State Representative,Nan Polk,Democratic,54,4955
,State Representative,Nancy McDevitt,Democratic,66,6260
,State Representative,Patricia A. (Pat) Boy,Democratic,9,11645
,State Representative,Penny Githens,Democratic,62,12950
,State Representative,Phil GiaQuinta,Democratic,80,7697
,State Representative,Ragen Hatcher,Democratic,3,10551
,State Representative,Reneé Pack,Democratic,92,7824
,State Representative,Rita Fleming,Democratic,71,9302
,State Representative,Robin Shackleford,Democratic,98,8359
,State Representative,Robin Williams,Democratic,30,5885
,State Representative,Ross Deal,Democratic,7,7702
,State Representative,Ross Thomas,Democratic,59,6949
,State Representative,Ryan D. Hatfield,Democratic,77,8237
,State Representative,Ryan M. Dvorak,Democratic,8,11325
,State Representative,Sheila J. Klinker,Democratic,27,7453
,State Representative,Sue Errington,Democratic,34,7659
,State Representative,Tammari L. (Tammy) Ingalls,Democratic,50,4739
,State Representative,Teresa Kendall,Democratic,63,4364
,State Representative,Terri Jo Austin,Democratic,36,8581
,State Representative,Tonya Pfaff,Democratic,43,8893
