elec_date,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
11/8/2022,"CITY OF EUFAULA",44601,"PROPOSITION  CITY OF EUFAULA",,3,3,2,"AGAINST THE PROPOSITION - NO",,8,103,400,511,,
11/8/2022,"CITY OF EDMOND",45501,"PROPOSITION  CITY OF EDMOND",,40,40,1,"FOR THE PROPOSITION - YES",,1345,1991,8132,11468,,
11/8/2022,"CITY OF EDMOND",45501,"PROPOSITION  CITY OF EDMOND",,40,40,2,"AGAINST THE PROPOSITION - NO",,2959,4167,18877,26003,,
11/8/2022,"CITY OF OKMULGEE",45601,"PROPOSITION  CITY OF OKMULGEE",,11,11,1,"FOR THE PROPOSITION - YES",,50,259,1319,1628,,
11/8/2022,"CITY OF OKMULGEE",45601,"PROPOSITION  CITY OF OKMULGEE",,11,11,2,"AGAINST THE PROPOSITION - NO",,24,162,704,890,,
11/8/2022,"CITY OF HAILEYVILLE",46101,"PROPOSITION  CITY OF HAILEYVILLE",,2,2,1,"FOR THE PROPOSITION - YES",,1,2,51,54,,
11/8/2022,"CITY OF HAILEYVILLE",46101,"PROPOSITION  CITY OF HAILEYVILLE",,2,2,2,"AGAINST THE PROPOSITION - NO",,4,3,122,129,,
11/8/2022,"CITY OF HARTSHORNE",46102,"PROPOSITION  CITY OF HARTSHORNE",,4,4,1,"FOR THE PROPOSITION - YES",,1,4,168,173,,
11/8/2022,"CITY OF HARTSHORNE",46102,"PROPOSITION  CITY OF HARTSHORNE",,4,4,2,"AGAINST THE PROPOSITION - NO",,4,8,342,354,,
11/8/2022,"CITY OF COLLINSVILLE",47201,"PROPOSITION  CITY OF COLLINSVILLE",,7,7,1,"FOR THE PROPOSITION - YES",,46,41,1330,1417,,
11/8/2022,"CITY OF COLLINSVILLE",47201,"PROPOSITION  CITY OF COLLINSVILLE",,7,7,2,"AGAINST THE PROPOSITION - NO",,43,35,934,1012,,
11/8/2022,"CITY OF TULSA",47206,"FOR COUNCIL DISTRICT 5  CITY OF TULSA",,18,18,1,"MYKEY ARTHRELL",,404,444,4197,5045,,
11/8/2022,"CITY OF TULSA",47206,"FOR COUNCIL DISTRICT 5  CITY OF TULSA",,18,18,2,"GRANT MILLER",,186,290,4593,5069,,
11/8/2022,"CITY OF TULSA",47207,"FOR COUNCIL DISTRICT 6  CITY OF TULSA",,16,16,1,"CHRISTIAN BENGEL",,155,229,3569,3953,,
11/8/2022,"CITY OF TULSA",47207,"FOR COUNCIL DISTRICT 6  CITY OF TULSA",,16,16,2,"CONNIE DODSON",,247,273,3267,3787,,
11/8/2022,"CITY OF TULSA",47208,"FOR COUNCIL DISTRICT 7  CITY OF TULSA",,20,20,1,"LORI DECTER WRIGHT",,637,763,5015,6415,,
11/8/2022,"CITY OF TULSA",47208,"FOR COUNCIL DISTRICT 7  CITY OF TULSA",,20,20,2,"KEN REDDICK",,234,451,4079,4764,,
11/8/2022,"CITY OF BARTLESVILLE",47402,"FOR COUNCILMEMBER WARD 2  CITY OF BARTLESVILLE",,7,7,1,"LOREN ROSZEL",,105,363,1327,1795,,
11/8/2022,"CITY OF BARTLESVILLE",47402,"FOR COUNCILMEMBER WARD 2  CITY OF BARTLESVILLE",,7,7,2,"CHELSIE WAGONER",,52,233,1199,1484,,
11/8/2022,"CITY OF BARTLESVILLE",47403,"FOR COUNCILMEMBER WARD 3  CITY OF BARTLESVILLE",,6,6,1,"JAMES S. CURD JR",,53,215,1002,1270,,
11/8/2022,"CITY OF BARTLESVILLE",47403,"FOR COUNCILMEMBER WARD 3  CITY OF BARTLESVILLE",,6,6,2,"BRANDON WADE",,30,94,462,586,,
11/8/2022,"CITY OF BARTLESVILLE",47404,"FOR COUNCILMEMBER WARD 4  CITY OF BARTLESVILLE",,6,6,1,"JOHN MAPLES",,25,54,569,648,,
11/8/2022,"CITY OF BARTLESVILLE",47404,"FOR COUNCILMEMBER WARD 4  CITY OF BARTLESVILLE",,6,6,2,"BILLIE L ROANE",,31,93,613,737,,
11/8/2022,"CITY OF NEW CORDELL",47501,"PROPOSITION NO. 1  CITY OF NEW CORDELL",,2,2,1,"FOR THE PROPOSITION - YES",,11,55,209,275,,
11/8/2022,"CITY OF NEW CORDELL",47501,"PROPOSITION NO. 1  CITY OF NEW CORDELL",,2,2,2,"AGAINST THE PROPOSITION - NO",,27,98,403,528,,
11/8/2022,"CITY OF NEW CORDELL",47502,"PROPOSITION NO. 2  CITY OF NEW CORDELL",,2,2,1,"FOR THE PROPOSITION - YES",,11,58,202,271,,
11/8/2022,"CITY OF NEW CORDELL",47502,"PROPOSITION NO. 2  CITY OF NEW CORDELL",,2,2,2,"AGAINST THE PROPOSITION - NO",,27,94,411,532,,
11/8/2022,"CITY OF NEW CORDELL",47503,"PROPOSITION NO. 3  CITY OF NEW CORDELL",,2,2,1,"FOR THE PROPOSITION - YES",,10,52,195,257,,
11/8/2022,"CITY OF NEW CORDELL",47503,"PROPOSITION NO. 3  CITY OF NEW CORDELL",,2,2,2,"AGAINST THE PROPOSITION - NO",,28,100,418,546,,
11/8/2022,"ROCK CREEK PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT NO. 002",50701,"PROPOSITION  ROCK CREEK PUBLIC SCHOOLS",,9,9,1,"FOR THE PROPOSITION - YES",,8,37,462,507,,
11/8/2022,"ROCK CREEK PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT NO. 002",50701,"PROPOSITION  ROCK CREEK PUBLIC SCHOOLS",,9,9,2,"AGAINST THE PROPOSITION - NO",,5,33,423,461,,
11/8/2022,"TISHOMINGO PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT NO. 020",53501,"FOR OFFICE NO. 1 (UNEXPIRED TERM)  TISHOMINGO PUBLIC SCHOOLS",,12,12,1,"DAKOTA COLE",,16,178,561,755,,
11/8/2022,"TISHOMINGO PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT NO. 020",53501,"FOR OFFICE NO. 1 (UNEXPIRED TERM)  TISHOMINGO PUBLIC SCHOOLS",,12,12,2,"LUKE HOLMES",,6,66,257,329,,
11/8/2022,"BATTIEST PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT NO. 071",54501,"PROPOSITION  BATTIEST PUBLIC SCHOOLS",,9,9,1,"FOR THE PROPOSITION - YES",,6,16,235,257,,
11/8/2022,"BATTIEST PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT NO. 071",54501,"PROPOSITION  BATTIEST PUBLIC SCHOOLS",,9,9,2,"AGAINST THE PROPOSITION - NO",,2,6,172,180,,
11/8/2022,"OKLAHOMA CITY PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT NO. 089",55501,"PROPOSITION NO. 1  OKLAHOMA CITY PUBLIC SCHOOLS",,135,135,1,"FOR THE PROPOSITION - YES",,4030,3673,30921,38624,,
11/8/2022,"OKLAHOMA CITY PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT NO. 089",55501,"PROPOSITION NO. 1  OKLAHOMA CITY PUBLIC SCHOOLS",,135,135,2,"AGAINST THE PROPOSITION - NO",,1942,1805,18079,21826,,
11/8/2022,"OKLAHOMA CITY PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT NO. 089",55502,"PROPOSITION NO. 2  OKLAHOMA CITY PUBLIC SCHOOLS",,135,135,1,"FOR THE PROPOSITION - YES",,3999,3539,29807,37345,,
11/8/2022,"OKLAHOMA CITY PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT NO. 089",55502,"PROPOSITION NO. 2  OKLAHOMA CITY PUBLIC SCHOOLS",,135,135,2,"AGAINST THE PROPOSITION - NO",,1966,1919,18976,22861,,
11/8/2022,"LITTLE AXE FIRE PROTECTION #70",60141,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS  LITTLE AXE FIRE PROTECTION #70",,3,3,1,"JENEENA PALMS",,8,36,325,369,,
11/8/2022,"LITTLE AXE FIRE PROTECTION #70",60141,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS  LITTLE AXE FIRE PROTECTION #70",,3,3,2,"SAMUEL D WASSON",,12,19,322,353,,
11/8/2022,"SOUTHWEST LIN. CO. FIRE #1",60411,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS  SOUTHWEST LIN. CO. FIRE #1",,3,3,1,"ROYCE RAMEY",,3,11,213,227,,
11/8/2022,"SOUTHWEST LIN. CO. FIRE #1",60411,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS  SOUTHWEST LIN. CO. FIRE #1",,3,3,2,"ERICK McCLURE",,11,24,362,397,,
11/8/2022,"SOUTHWEST LIN. CO. FIRE #1",60411,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS  SOUTHWEST LIN. CO. FIRE #1",,3,3,3,"CHANDRA WELT",,19,16,312,347,,
11/8/2022,"LOGAN COUNTY (DEER CREEK FPD)",60421,"PROPOSITION  LOGAN COUNTY (DEER CREEK FPD)",,2,2,1,"FOR THE PROPOSITION - YES",,38,62,430,530,,
11/8/2022,"LOGAN COUNTY (DEER CREEK FPD)",60421,"PROPOSITION  LOGAN COUNTY (DEER CREEK FPD)",,2,2,2,"AGAINST THE PROPOSITION - NO",,5,4,31,40,,
11/8/2022,"MCCURTAIN COUNTY (HOCHATOWN)",60451,"PROPOSITION  MCCURTAIN COUNTY (HOCHATOWN)",,1,1,1,"FOR THE PROPOSITION - YES",,1,8,120,129,,
11/8/2022,"MCCURTAIN COUNTY (HOCHATOWN)",60451,"PROPOSITION  MCCURTAIN COUNTY (HOCHATOWN)",,1,1,2,"AGAINST THE PROPOSITION - NO",,0,2,16,18,,
11/8/2022,"VERDIGRIS FIRE",60661,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS  VERDIGRIS FIRE",,4,4,1,"ROBERT D. COX",,87,249,1055,1391,,
11/8/2022,"VERDIGRIS FIRE",60661,"FOR BOARD MEMBER MEMBER OF THE BOARD OF DIRECTORS  VERDIGRIS FIRE",,4,4,2,"ANDY B. COOK",,80,204,1199,1483,,
