elec_date,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
11/8/2022,"TOWN OF UNION CITY",40901,"PROPOSITION  TOWN OF UNION CITY",,1,1,2,"AGAINST THE PROPOSITION - NO",,3,14,252,269,,
11/8/2022,"CITY OF EL RENO",40902,"FOR MAYOR  CITY OF EL RENO",,13,13,1,"PHILLIP CHURCH",,51,154,865,1070,,
11/8/2022,"CITY OF EL RENO",40902,"FOR MAYOR  CITY OF EL RENO",,13,13,2,"STEVE JENSEN",,107,468,2381,2956,,
11/8/2022,"CITY OF EL RENO",40903,"FOR COUNCILMEMBER WARD 3  CITY OF EL RENO",,6,6,1,"KEVIN MARR",,17,36,283,336,,
11/8/2022,"CITY OF EL RENO",40903,"FOR COUNCILMEMBER WARD 3  CITY OF EL RENO",,6,6,2,"DAVID W BLACK",,21,83,435,539,,
11/8/2022,"CITY OF HEALDTON",41001,"PROPOSITION  CITY OF HEALDTON",,4,4,1,"FOR THE PROPOSITION - YES",,6,18,337,361,,
11/8/2022,"CITY OF HEALDTON",41001,"PROPOSITION  CITY OF HEALDTON",,4,4,2,"AGAINST THE PROPOSITION - NO",,2,7,234,243,,
11/8/2022,"CITY OF MOORE",41403,"PROPOSITION  CITY OF MOORE",,22,22,1,"FOR THE PROPOSITION - YES",,964,1625,9250,11839,,
11/8/2022,"CITY OF MOORE",41403,"PROPOSITION  CITY OF MOORE",,22,22,2,"AGAINST THE PROPOSITION - NO",,340,584,4109,5033,,
11/8/2022,"CITY OF COALGATE",41501,"PROPOSITION PROPOSED CITY CHARTER AMENDMENT SECTION 1  CITY OF COALGATE",,3,3,1,"FOR THE PROPOSITION - YES",,6,89,231,326,,
11/8/2022,"CITY OF COALGATE",41501,"PROPOSITION PROPOSED CITY CHARTER AMENDMENT SECTION 1  CITY OF COALGATE",,3,3,2,"AGAINST THE PROPOSITION - NO",,2,21,59,82,,
11/8/2022,"CITY OF OILTON",41901,"PROPOSITION NO. 1  CITY OF OILTON",,1,1,1,"FOR THE PROPOSITION - YES",,1,0,99,100,,
11/8/2022,"CITY OF OILTON",41901,"PROPOSITION NO. 1  CITY OF OILTON",,1,1,2,"AGAINST THE PROPOSITION - NO",,0,2,143,145,,
11/8/2022,"CITY OF OILTON",41902,"PROPOSITION NO. 2  CITY OF OILTON",,1,1,1,"FOR THE PROPOSITION - YES",,1,0,107,108,,
11/8/2022,"CITY OF OILTON",41902,"PROPOSITION NO. 2  CITY OF OILTON",,1,1,2,"AGAINST THE PROPOSITION - NO",,0,2,135,137,,
11/8/2022,"TOWN OF WAUKOMIS",42401,"PROPOSITION  TOWN OF WAUKOMIS",,1,1,1,"FOR THE PROPOSITION - YES",,2,19,207,228,,
11/8/2022,"TOWN OF WAUKOMIS",42401,"PROPOSITION  TOWN OF WAUKOMIS",,1,1,2,"AGAINST THE PROPOSITION - NO",,2,17,179,198,,
11/8/2022,"TOWN OF HEADRICK",43301,"PROPOSITION  TOWN OF HEADRICK",,1,1,1,"FOR THE PROPOSITION - YES",,2,2,24,28,,
11/8/2022,"TOWN OF HEADRICK",43301,"PROPOSITION  TOWN OF HEADRICK",,1,1,2,"AGAINST THE PROPOSITION - NO",,1,0,2,3,,
11/8/2022,"CITY OF ALTUS",43302,"FOR COUNCILMEMBER, WARD NO. 4 (UNEXPIRED TERM)  CITY OF ALTUS",,5,5,1,"CJ MORRIS",,4,9,70,83,,
11/8/2022,"CITY OF ALTUS",43302,"FOR COUNCILMEMBER, WARD NO. 4 (UNEXPIRED TERM)  CITY OF ALTUS",,5,5,2,"WILLIAM MICKLEY",,8,13,78,99,,
11/8/2022,"CITY OF ALTUS",43302,"FOR COUNCILMEMBER, WARD NO. 4 (UNEXPIRED TERM)  CITY OF ALTUS",,5,5,3,"CHRISTINA WALLACE",,4,9,72,85,,
11/8/2022,"CITY OF ALTUS",43302,"FOR COUNCILMEMBER, WARD NO. 4 (UNEXPIRED TERM)  CITY OF ALTUS",,5,5,4,"MATTHEW MEDLOCK",,6,29,124,159,,
11/8/2022,"CITY OF ALTUS",43302,"FOR COUNCILMEMBER, WARD NO. 4 (UNEXPIRED TERM)  CITY OF ALTUS",,5,5,5,"BRODIE BUTCHEE",,7,100,509,616,,
11/8/2022,"CITY OF ALTUS",43302,"FOR COUNCILMEMBER, WARD NO. 4 (UNEXPIRED TERM)  CITY OF ALTUS",,5,5,6,"RANDY L. KAY II",,0,13,49,62,,
11/8/2022,"CITY OF ALTUS",43302,"FOR COUNCILMEMBER, WARD NO. 4 (UNEXPIRED TERM)  CITY OF ALTUS",,5,5,7,"MELISSA TUTTLE",,3,13,62,78,,
11/8/2022,"CITY OF ALTUS",43302,"FOR COUNCILMEMBER, WARD NO. 4 (UNEXPIRED TERM)  CITY OF ALTUS",,5,5,8,"CRYSTAL M. WILSON",,0,5,43,48,,
11/8/2022,"TOWN OF GOTEBO",43801,"PROPOSITION  TOWN OF GOTEBO",,1,1,1,"FOR THE PROPOSITION - YES",,1,0,53,54,,
11/8/2022,"TOWN OF GOTEBO",43801,"PROPOSITION  TOWN OF GOTEBO",,1,1,2,"AGAINST THE PROPOSITION - NO",,0,0,8,8,,
11/8/2022,"TOWN OF ARKOMA",44001,"PROPOSITION  TOWN OF ARKOMA",,1,1,1,"FOR THE PROPOSITION - YES",,3,3,125,131,,
11/8/2022,"TOWN OF ARKOMA",44001,"PROPOSITION  TOWN OF ARKOMA",,1,1,2,"AGAINST THE PROPOSITION - NO",,1,1,184,186,,
11/8/2022,"CITY OF EUFAULA",44601,"PROPOSITION  CITY OF EUFAULA",,3,3,1,"FOR THE PROPOSITION - YES",,4,36,231,271,,
